rank,id,smiles,chemotype,primary_site,n_sources,jack_boltz_kd_uM,jack_boltz_prob_binder,onepot_sim_pct,v3_local_rank,v3_scc_rank,v5_g_rank,v1_onepot_rank,orig_F_rank,jack_boltz_rank,site_A_rank,v3_local_vina_min,v3_local_pose,v3_local_pkd,v5_g_vina,v5_g_pose,v5_g_pkd,assigned_group
1,Z795991852_analog_0039,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,5,0.337,0.734,40,6,6,8,,,2,1,-9.01,0.7033,6.189,-7.31,0.6827,5.774,A
2,Z795991852_analog_0041,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,5,1.428,0.611,50,19,31,,,76,26,28,-8.61,0.6973,6.152,,,,A
3,Z795991852_analog_0038,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,5,1.538,0.597,,48,21,,,69,30,12,-8.21,0.6811,6.085,,,,A
4,Z795991852_analog_0050,Cn1c(=O)c2ccccc2n2c(C(=O)OCc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,5,1.584,0.528,43,21,45,16,,,32,43,-8.51,0.7118,5.969,-6.73,0.6608,6.016,A
5,Z795991852_analog_0086,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,5,1.616,0.534,42,16,24,5,,,34,7,-8.57,0.7138,6.011,-6.74,0.7227,5.987,
6,Z795991852_analog_0087,Cn1c(=O)c2ccccc2n2c(COc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,5,2.035,0.509,86,13,5,,,11,50,24,-8.46,0.7246,6.036,,,,E_lead
7,gen_0051,COc1cc2nc(-c3cccc(N)c3)nc(-c3ccc4ccccc4c3)c2cc1N,novel_BRICS,F,5,2.231,0.588,64,11,73,12,,,55,49,-7.9,0.7626,5.934,-6.32,0.6702,6.438,C
8,Z795991852_analog_0053,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,G,5,2.888,0.496,58,53,9,72,,34,78,,-7.97,0.6796,6.228,-6.06,0.6477,5.765,D
9,Z795991852_analog_0085,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,5,,,40,77,79,7,,78,,5,-7.96,0.6559,6.206,-6.83,0.6943,5.945,D
10,Z795991852_analog_0035,Cn1c(=O)c2ccccc2n2c(CNC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,4,0.46,0.612,52,4,47,,,74,5,,-9.18,0.697,6.245,,,,
11,Z795991852_analog_0021,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,4,0.464,0.637,41,26,58,,,,6,2,-8.5,0.6717,6.396,,,,E_lead
12,Z795991852_analog_0048,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,4,0.647,0.635,53,41,3,,,,10,20,-8.65,0.6554,6.279,,,,D
